Distance,CQI
551.37,10.0
551.37,8.0
553.43,9.0
553.43,9.0
563.48,9.0
563.48,9.0
563.48,9.0
563.48,9.0
545.02,9.0
545.02,9.0
545.02,9.0
545.02,7.0
545.02,6.0
545.02,10.0
545.02,5.0
545.02,5.0
545.02,7.0
545.02,7.0
545.02,7.0
545.02,7.0
545.02,7.0
545.02,6.0
545.02,7.0
545.02,9.0
545.02,9.0
545.02,6.0
545.02,7.0
545.02,7.0
545.02,7.0
545.02,8.0
545.02,6.0
545.02,6.0
545.02,6.0
535.0,6.0
535.0,6.0
535.0,6.0
535.0,6.0
535.0,6.0
535.0,6.0
535.0,6.0
535.0,7.0
535.0,6.0
526.05,7.0
526.05,7.0
526.05,7.0
526.05,6.0
526.05,6.0
526.05,6.0
526.05,6.0
526.05,6.0
526.05,6.0
526.05,6.0
526.05,6.0
523.27,6.0
523.27,6.0
523.27,8.0
523.27,8.0
523.27,8.0
523.27,8.0
523.27,8.0
523.27,8.0
523.27,6.0
516.23,6.0
516.23,5.0
516.23,6.0
516.23,6.0
516.23,6.0
1935.02,2.0
1923.81,2.0
1923.81,2.0
1923.81,2.0
1923.81,4.0
477.05,6.0
477.05,8.0
477.05,8.0
466.28,8.0
466.28,8.0
466.28,7.0
466.28,7.0
466.28,8.0
466.28,8.0
466.28,8.0
466.28,8.0
466.28,7.0
456.44,7.0
456.44,7.0
456.44,8.0
456.44,8.0
456.44,8.0
456.44,7.0
456.44,7.0
456.44,7.0
446.11,7.0
446.11,7.0
446.11,7.0
446.11,7.0
446.11,7.0
446.11,7.0
446.11,6.0
446.11,6.0
446.11,6.0
436.65,6.0
436.65,6.0
436.65,6.0
436.65,6.0
436.65,7.0
436.65,6.0
436.65,6.0
426.91,8.0
426.91,8.0
426.91,7.0
426.91,6.0
426.91,6.0
426.91,12.0
426.91,9.0
426.91,9.0
416.91,8.0
416.91,8.0
416.91,8.0
416.91,8.0
416.91,8.0
416.91,8.0
416.91,8.0
416.91,9.0
416.91,9.0
416.91,10.0
406.59,9.0
406.59,9.0
406.59,9.0
406.59,9.0
406.59,9.0
406.59,12.0
406.59,11.0
406.59,11.0
406.59,11.0
406.59,11.0
396.15,11.0
396.15,11.0
396.15,9.0
396.15,9.0
396.15,9.0
396.15,7.0
396.15,9.0
396.15,7.0
396.15,7.0
396.15,7.0
396.15,7.0
391.33,7.0
391.33,7.0
391.33,10.0
391.33,7.0
391.33,7.0
391.33,7.0
391.33,7.0
391.33,8.0
391.33,10.0
391.33,10.0
382.45,10.0
382.45,10.0
382.45,10.0
382.45,8.0
382.45,9.0
382.45,9.0
382.45,10.0
382.45,12.0
382.45,9.0
371.82,9.0
371.82,9.0
371.82,9.0
371.82,8.0
371.82,15.0
371.82,9.0
371.82,9.0
371.82,9.0
362.04,9.0
362.04,12.0
362.04,9.0
362.04,10.0
362.04,11.0
362.04,11.0
362.04,8.0
351.96,12.0
351.96,12.0
351.96,7.0
351.96,7.0
351.96,8.0
351.96,8.0
